# Menlo Systems Time Domain Spectrometer
# Program Version 1.4.7 
#  Start: -300 ps, Average over 80 waveforms. Date: 2023-3-20
# Time [ps] 	 THz Signal [a.u.]
-299.98665744	0.00000000
-299.95330103	-0.00000000
-299.91994462	-0.00000001
-299.88658821	0.00000013
-299.85323180	0.00000034
-299.81987539	-0.00000015
-299.78651898	-0.00000005
-299.75316257	0.00000026
-299.71980616	-0.00000180
-299.68644975	-0.00000026
-299.65309334	-0.00000163
-299.61973693	-0.00000150
-299.58638052	0.00000059
-299.55302411	-0.00000254
-299.51966770	0.00000174
-299.48631129	-0.00000010
-299.45295488	0.00000275
-299.41959847	0.00000260
-299.38624206	-0.00000265
-299.35288566	0.00000169
-299.31952925	-0.00000828
-299.28617284	-0.00001442
-299.25281643	-0.00000237
-299.21946002	-0.00000523
-299.18610361	0.00000387
-299.15274720	-0.00000252
-299.11939079	-0.00002019
-299.08603438	0.00000189
-299.05267797	0.00001367
-299.01932156	-0.00001480
-298.98596515	-0.00002559
-298.95260874	-0.00001134
-298.91925233	-0.00003097
-298.88589592	-0.00001537
-298.85253951	0.00000838
-298.81918310	-0.00001115
-298.78582669	0.00001286
-298.75247028	-0.00000658
-298.71911387	-0.00000765
-298.68575746	0.00000630
-298.65240106	0.00000611
-298.61904465	-0.00002509
-298.58568824	-0.00002000
-298.55233183	-0.00001597
-298.51897542	-0.00000320
-298.48561901	-0.00012758
-298.45226260	-0.00007262
-298.41890619	-0.00003502
-298.38554978	-0.00000096
-298.35219337	-0.00003249
-298.31883696	-0.00004745
-298.28548055	-0.00008570
-298.25212414	-0.00005171
-298.21876773	-0.00004502
-298.18541132	-0.00007686
-298.15205491	-0.00007314
-298.11869850	-0.00005277
-298.08534209	-0.00009826
-298.05198568	-0.00005681
-298.01862927	-0.00005236
-297.98527287	-0.00012587
-297.95191646	-0.00004032
-297.91856005	-0.00009519
-297.88520364	-0.00017544
-297.85184723	-0.00010654
-297.81849082	-0.00009599
-297.78513441	-0.00011081
-297.75177800	-0.00003249
-297.71842159	0.00006654
-297.68506518	-0.00013238
-297.65170877	-0.00013814
-297.61835236	-0.00010733
-297.58499595	-0.00003057
-297.55163954	-0.00014766
-297.51828313	-0.00000673
-297.48492672	-0.00003044
-297.45157031	-0.00019638
-297.41821390	-0.00020633
-297.38485749	-0.00007745
-297.35150108	0.00000597
-297.31814467	-0.00011669
-297.28478827	-0.00016563
-297.25143186	-0.00002506
-297.21807545	-0.00021919
-297.18471904	-0.00024205
-297.15136263	-0.00012909
-297.11800622	-0.00024791
-297.08464981	-0.00038956
-297.05129340	-0.00003992
-297.01793699	-0.00037530
-296.98458058	-0.00026690
-296.95122417	-0.00023660
-296.91786776	-0.00052557
-296.88451135	-0.00039388
-296.85115494	-0.00008562
-296.81779853	-0.00008577
-296.78444212	-0.00025673
-296.75108571	-0.00028455
-296.71772930	-0.00023107
-296.68437289	-0.00006911
-296.65101648	-0.00011506
-296.61766007	-0.00044924
-296.58430367	-0.00046144
-296.55094726	-0.00014825
-296.51759085	0.00003583
-296.48423444	-0.00001918
-296.45087803	-0.00045329
-296.41752162	-0.00008837
-296.38416521	-0.00027494
-296.35080880	-0.00049661
-296.31745239	-0.00009119
-296.28409598	-0.00042956
-296.25073957	-0.00024751
-296.21738316	-0.00027201
-296.18402675	-0.00045589
-296.15067034	-0.00022304
-296.11731393	-0.00037932
-296.08395752	-0.00027886
-296.05060111	-0.00028992
-296.01724470	0.00000627
-295.98388829	-0.00026143
-295.95053188	-0.00012503
-295.91717547	-0.00033261
-295.88381907	-0.00085384
-295.85046266	-0.00000974
-295.81710625	-0.00032608
-295.78374984	-0.00015164
-295.75039343	-0.00024767
-295.71703702	-0.00034888
-295.68368061	-0.00007303
-295.65032420	-0.00007324
-295.61696779	0.00001360
-295.58361138	-0.00025936
-295.55025497	-0.00038311
-295.51689856	-0.00046032
-295.48354215	-0.00066558
-295.45018574	-0.00007484
-295.41682933	-0.00002485
-295.38347292	-0.00038799
-295.35011651	-0.00042288
-295.31676010	-0.00036860
-295.28340369	-0.00006738
-295.25004728	-0.00009184
-295.21669087	-0.00045619
-295.18333447	-0.00003270
-295.14997806	0.00025510
-295.11662165	-0.00016860
-295.08326524	-0.00026422
-295.04990883	-0.00019143
-295.01655242	-0.00003427
-294.98319601	-0.00046803
-294.94983960	0.00030947
-294.91648319	-0.00032266
-294.88312678	-0.00019096
-294.84977037	0.00057917
-294.81641396	0.00041798
-294.78305755	-0.00005330
-294.74970114	-0.00043283
-294.71634473	-0.00057948
-294.68298832	0.00008564
-294.64963191	-0.00027277
-294.61627550	-0.00048583
-294.58291909	-0.00049564
-294.54956268	-0.00031154
-294.51620627	-0.00012075
-294.48284987	-0.00041978
-294.44949346	-0.00030049
-294.41613705	-0.00021572
-294.38278064	-0.00031085
-294.34942423	-0.00015098
-294.31606782	-0.00037379
-294.28271141	-0.00052526
-294.24935500	-0.00054051
-294.21599859	-0.00008603
-294.18264218	-0.00053125
-294.14928577	0.00010635
-294.11592936	0.00039429
-294.08257295	-0.00042303
-294.04921654	-0.00025748
-294.01586013	-0.00016566
-293.98250372	0.00004302
-293.94914731	0.00053505
-293.91579090	0.00002088
-293.88243449	-0.00048946
-293.84907808	-0.00058309
-293.81572168	0.00009160
-293.78236527	-0.00048684
-293.74900886	-0.00050457
-293.71565245	0.00035512
-293.68229604	-0.00016704
-293.64893963	-0.00065550
-293.61558322	-0.00016457
-293.58222681	-0.00019336
-293.54887040	-0.00110225
-293.51551399	-0.00096235
-293.48215758	0.00004457
-293.44880117	0.00026050
-293.41544476	-0.00021569
-293.38208835	0.00068597
-293.34873194	-0.00040369
-293.31537553	0.00036435
-293.28201912	0.00023851
-293.24866271	-0.00029352
-293.21530630	-0.00141819
-293.18194989	-0.00018254
-293.14859348	0.00003170
-293.11523708	0.00044445
-293.08188067	0.00075868
-293.04852426	-0.00040553
-293.01516785	-0.00009396
-292.98181144	-0.00050512
-292.94845503	0.00005684
-292.91509862	-0.00025512
-292.88174221	-0.00079853
-292.84838580	0.00032261
-292.81502939	0.00067648
-292.78167298	-0.00081822
-292.74831657	-0.00066143
-292.71496016	0.00004630
-292.68160375	-0.00002284
-292.64824734	-0.00062713
-292.61489093	0.00057359
-292.58153452	0.00028131
-292.54817811	0.00019713
-292.51482170	-0.00002535
-292.48146529	0.00021715
-292.44810888	0.00000395
-292.41475248	0.00033370
-292.38139607	0.00030652
-292.34803966	-0.00123480
-292.31468325	-0.00037696
-292.28132684	-0.00023192
-292.24797043	-0.00095386
-292.21461402	0.00040358
-292.18125761	-0.00024158
-292.14790120	0.00035907
-292.11454479	-0.00038972
-292.08118838	0.00122983
-292.04783197	-0.00020944
-292.01447556	-0.00027754
-291.98111915	0.00046364
-291.94776274	0.00009668
-291.91440633	0.00140802
-291.88104992	-0.00049743
-291.84769351	-0.00040293
-291.81433710	0.00018716
-291.78098069	-0.00011450
-291.74762428	0.00055539
-291.71426788	0.00022765
-291.68091147	-0.00031604
-291.64755506	0.00006469
-291.61419865	-0.00025873
-291.58084224	-0.00016864
-291.54748583	0.00039853
-291.51412942	-0.00077451
-291.48077301	-0.00037883
-291.44741660	-0.00012367
-291.41406019	0.00025485
-291.38070378	-0.00114256
-291.34734737	0.00082217
-291.31399096	0.00004421
-291.28063455	0.00078725
-291.24727814	0.00025225
-291.21392173	-0.00001123
-291.18056532	-0.00135003
-291.14720891	-0.00052805
-291.11385250	0.00014718
-291.08049609	-0.00091654
-291.04713968	-0.00045318
-291.01378328	-0.00096363
-290.98042687	-0.00177377
-290.94707046	-0.00080843
-290.91371405	-0.00038988
-290.88035764	-0.00043619
-290.84700123	-0.00085014
-290.81364482	0.00037787
-290.78028841	-0.00073640
-290.74693200	-0.00071370
-290.71357559	-0.00039354
-290.68021918	-0.00023822
-290.64686277	-0.00019660
-290.61350636	-0.00030148
-290.58014995	-0.00102316
-290.54679354	-0.00004794
-290.51343713	-0.00121759
-290.48008072	-0.00046348
-290.44672431	-0.00083852
-290.41336790	0.00012465
-290.38001149	0.00033783
-290.34665508	-0.00120147
-290.31329868	-0.00104146
-290.27994227	-0.00084073
-290.24658586	-0.00065707
-290.21322945	-0.00131195
-290.17987304	-0.00067502
-290.14651663	-0.00012947
-290.11316022	-0.00021102
-290.07980381	-0.00003650
-290.04644740	-0.00090266
-290.01309099	-0.00086639
-289.97973458	-0.00050803
-289.94637817	-0.00047508
-289.91302176	-0.00154040
-289.87966535	-0.00074856
-289.84630894	-0.00159509
-289.81295253	-0.00034951
-289.77959612	-0.00088706
-289.74623971	0.00002612
-289.71288330	-0.00078921
-289.67952689	0.00009374
-289.64617049	-0.00132189
-289.61281408	-0.00110490
-289.57945767	-0.00095255
-289.54610126	-0.00049043
-289.51274485	-0.00036860
-289.47938844	0.00005764
-289.44603203	-0.00109841
-289.41267562	-0.00136119
-289.37931921	-0.00096392
-289.34596280	-0.00099964
-289.31260639	-0.00067021
-289.27924998	-0.00027374
-289.24589357	-0.00120503
-289.21253716	-0.00084639
-289.17918075	-0.00058893
-289.14582434	-0.00219541
-289.11246793	0.00007412
-289.07911152	-0.00102973
-289.04575511	-0.00021092
-289.01239870	-0.00070745
-288.97904229	-0.00099245
-288.94568589	-0.00117497
-288.91232948	-0.00055366
