# Menlo Systems Time Domain Spectrometer
# Program Version 1.4.7 
#  Start: -300 ps, Average over 80 waveforms. Date: 2023-3-20
# Time [ps] 	 THz Signal [a.u.]
-299.98665744	-0.00000000
-299.95330103	-0.00000002
-299.91994462	0.00000004
-299.88658821	-0.00000019
-299.85323180	0.00000023
-299.81987539	0.00000050
-299.78651898	0.00000049
-299.75316257	-0.00000084
-299.71980616	0.00000043
-299.68644975	0.00000121
-299.65309334	0.00000007
-299.61973693	0.00000147
-299.58638052	0.00000103
-299.55302411	-0.00000309
-299.51966770	-0.00000443
-299.48631129	-0.00000180
-299.45295488	-0.00000333
-299.41959847	0.00000531
-299.38624206	-0.00000851
-299.35288566	-0.00000782
-299.31952925	-0.00000364
-299.28617284	0.00000098
-299.25281643	-0.00001426
-299.21946002	-0.00001827
-299.18610361	0.00000233
-299.15274720	0.00000127
-299.11939079	0.00000752
-299.08603438	0.00000020
-299.05267797	-0.00000565
-299.01932156	-0.00001539
-298.98596515	0.00002110
-298.95260874	0.00001769
-298.91925233	-0.00001413
-298.88589592	0.00000604
-298.85253951	-0.00001033
-298.81918310	-0.00001595
-298.78582669	-0.00003107
-298.75247028	-0.00000741
-298.71911387	0.00003449
-298.68575746	0.00001183
-298.65240106	-0.00005584
-298.61904465	-0.00003785
-298.58568824	-0.00000562
-298.55233183	-0.00003095
-298.51897542	0.00000636
-298.48561901	0.00001724
-298.45226260	-0.00007036
-298.41890619	0.00001026
-298.38554978	0.00000646
-298.35219337	-0.00003579
-298.31883696	-0.00006314
-298.28548055	-0.00001891
-298.25212414	-0.00004875
-298.21876773	-0.00001444
-298.18541132	-0.00006698
-298.15205491	0.00008859
-298.11869850	-0.00003340
-298.08534209	-0.00016810
-298.05198568	0.00004464
-298.01862927	-0.00009875
-297.98527287	-0.00004581
-297.95191646	-0.00000768
-297.91856005	-0.00004775
-297.88520364	-0.00002091
-297.85184723	-0.00011819
-297.81849082	-0.00003273
-297.78513441	-0.00019089
-297.75177800	-0.00000336
-297.71842159	-0.00002792
-297.68506518	-0.00002058
-297.65170877	-0.00006919
-297.61835236	0.00000626
-297.58499595	-0.00003380
-297.55163954	-0.00021365
-297.51828313	-0.00008501
-297.48492672	-0.00006701
-297.45157031	-0.00012250
-297.41821390	-0.00008885
-297.38485749	-0.00011498
-297.35150108	-0.00011697
-297.31814467	0.00001492
-297.28478827	-0.00019458
-297.25143186	0.00000781
-297.21807545	-0.00015080
-297.18471904	-0.00024533
-297.15136263	-0.00023619
-297.11800622	-0.00007221
-297.08464981	-0.00024552
-297.05129340	-0.00011489
-297.01793699	-0.00022199
-296.98458058	-0.00004070
-296.95122417	-0.00016700
-296.91786776	-0.00012293
-296.88451135	-0.00021632
-296.85115494	-0.00012131
-296.81779853	-0.00033718
-296.78444212	-0.00032963
-296.75108571	-0.00015253
-296.71772930	-0.00019918
-296.68437289	-0.00023299
-296.65101648	-0.00021265
-296.61766007	-0.00019038
-296.58430367	-0.00018437
-296.55094726	-0.00035475
-296.51759085	-0.00021206
-296.48423444	-0.00008206
-296.45087803	0.00004481
-296.41752162	-0.00040007
-296.38416521	-0.00023200
-296.35080880	-0.00023317
-296.31745239	-0.00042690
-296.28409598	-0.00041930
-296.25073957	-0.00030076
-296.21738316	-0.00061749
-296.18402675	-0.00038581
-296.15067034	-0.00042103
-296.11731393	-0.00004456
-296.08395752	-0.00004073
-296.05060111	-0.00052250
-296.01724470	-0.00008661
-295.98388829	-0.00026144
-295.95053188	-0.00037056
-295.91717547	-0.00051342
-295.88381907	-0.00007290
-295.85046266	-0.00010874
-295.81710625	-0.00035190
-295.78374984	-0.00002155
-295.75039343	-0.00022688
-295.71703702	-0.00048848
-295.68368061	-0.00051282
-295.65032420	-0.00060326
-295.61696779	0.00010664
-295.58361138	-0.00047866
-295.55025497	-0.00026898
-295.51689856	-0.00015827
-295.48354215	-0.00033912
-295.45018574	0.00016618
-295.41682933	-0.00035958
-295.38347292	0.00014387
-295.35011651	0.00009197
-295.31676010	-0.00009293
-295.28340369	0.00009782
-295.25004728	0.00008988
-295.21669087	-0.00014089
-295.18333447	0.00000814
-295.14997806	-0.00022364
-295.11662165	-0.00037694
-295.08326524	-0.00020135
-295.04990883	-0.00062717
-295.01655242	-0.00035529
-294.98319601	0.00006922
-294.94983960	-0.00029118
-294.91648319	0.00013850
-294.88312678	0.00015002
-294.84977037	-0.00002699
-294.81641396	-0.00066905
-294.78305755	-0.00018160
-294.74970114	0.00006637
-294.71634473	-0.00018115
-294.68298832	0.00045543
-294.64963191	-0.00047786
-294.61627550	-0.00066303
-294.58291909	0.00017095
-294.54956268	-0.00044634
-294.51620627	0.00042270
-294.48284987	0.00038520
-294.44949346	-0.00001496
-294.41613705	0.00035022
-294.38278064	-0.00007422
-294.34942423	-0.00025991
-294.31606782	0.00005832
-294.28271141	-0.00001748
-294.24935500	-0.00010388
-294.21599859	0.00000429
-294.18264218	-0.00017797
-294.14928577	-0.00033564
-294.11592936	-0.00015868
-294.08257295	-0.00062969
-294.04921654	0.00002320
-294.01586013	-0.00003167
-293.98250372	0.00011415
-293.94914731	-0.00017886
-293.91579090	-0.00029195
-293.88243449	-0.00004400
-293.84907808	0.00002850
-293.81572168	-0.00040902
-293.78236527	-0.00009780
-293.74900886	-0.00023295
-293.71565245	0.00028015
-293.68229604	-0.00080920
-293.64893963	0.00041174
-293.61558322	-0.00012581
-293.58222681	0.00032912
-293.54887040	0.00008654
-293.51551399	0.00064427
-293.48215758	0.00001019
-293.44880117	0.00008322
-293.41544476	0.00014200
-293.38208835	0.00015076
-293.34873194	-0.00019895
-293.31537553	-0.00031174
-293.28201912	0.00070802
-293.24866271	0.00037569
-293.21530630	0.00008114
-293.18194989	-0.00091684
-293.14859348	0.00004148
-293.11523708	-0.00015761
-293.08188067	0.00024404
-293.04852426	0.00114977
-293.01516785	-0.00000216
-292.98181144	0.00013923
-292.94845503	0.00032559
-292.91509862	0.00081515
-292.88174221	0.00076237
-292.84838580	0.00005699
-292.81502939	0.00056873
-292.78167298	0.00034144
-292.74831657	-0.00049653
-292.71496016	0.00037859
-292.68160375	-0.00044390
-292.64824734	0.00062096
-292.61489093	0.00044205
-292.58153452	0.00033213
-292.54817811	-0.00024358
-292.51482170	-0.00050377
-292.48146529	-0.00022712
-292.44810888	0.00011311
-292.41475248	0.00042523
-292.38139607	0.00015307
-292.34803966	-0.00043195
-292.31468325	-0.00038829
-292.28132684	0.00056945
-292.24797043	0.00002811
-292.21461402	0.00148701
-292.18125761	-0.00029292
-292.14790120	-0.00037352
-292.11454479	0.00002774
-292.08118838	0.00008269
-292.04783197	-0.00053459
-292.01447556	0.00052282
-291.98111915	0.00007731
-291.94776274	0.00050524
-291.91440633	-0.00094255
-291.88104992	-0.00152313
-291.84769351	-0.00031591
-291.81433710	-0.00020289
-291.78098069	-0.00023742
-291.74762428	-0.00007627
-291.71426788	-0.00080870
-291.68091147	0.00078518
-291.64755506	0.00072134
-291.61419865	-0.00038176
-291.58084224	-0.00014860
-291.54748583	0.00042662
-291.51412942	0.00043777
-291.48077301	-0.00016357
-291.44741660	0.00028374
-291.41406019	-0.00012832
-291.38070378	-0.00044528
-291.34734737	0.00012332
-291.31399096	-0.00003409
-291.28063455	-0.00080753
-291.24727814	0.00000836
-291.21392173	-0.00078059
-291.18056532	-0.00089739
-291.14720891	-0.00045113
-291.11385250	-0.00098267
-291.08049609	-0.00045084
-291.04713968	-0.00030877
-291.01378328	-0.00111492
-290.98042687	0.00016884
-290.94707046	0.00009916
-290.91371405	-0.00081756
-290.88035764	-0.00057551
-290.84700123	0.00068774
-290.81364482	0.00028237
-290.78028841	0.00017926
-290.74693200	-0.00048494
-290.71357559	0.00054625
-290.68021918	-0.00105710
-290.64686277	0.00005714
-290.61350636	-0.00101147
-290.58014995	-0.00103792
-290.54679354	-0.00091733
-290.51343713	-0.00071028
-290.48008072	-0.00118233
-290.44672431	-0.00027107
-290.41336790	-0.00097197
-290.38001149	-0.00035985
-290.34665508	-0.00089104
-290.31329868	-0.00048277
-290.27994227	0.00004016
-290.24658586	-0.00049074
-290.21322945	-0.00001598
-290.17987304	0.00086217
-290.14651663	-0.00017402
-290.11316022	0.00020398
-290.07980381	-0.00099286
-290.04644740	-0.00021349
-290.01309099	-0.00011634
-289.97973458	-0.00067523
-289.94637817	-0.00095436
-289.91302176	-0.00056523
-289.87966535	0.00030574
-289.84630894	-0.00046644
-289.81295253	-0.00007967
-289.77959612	0.00016827
-289.74623971	-0.00047286
-289.71288330	-0.00161839
-289.67952689	-0.00030537
-289.64617049	-0.00031306
-289.61281408	-0.00093903
-289.57945767	0.00034827
-289.54610126	-0.00064915
-289.51274485	-0.00041293
-289.47938844	-0.00205132
-289.44603203	-0.00025026
-289.41267562	-0.00110197
-289.37931921	-0.00094638
-289.34596280	-0.00031629
-289.31260639	-0.00034665
-289.27924998	-0.00004061
-289.24589357	0.00037308
-289.21253716	-0.00061152
-289.17918075	-0.00092898
-289.14582434	-0.00038580
-289.11246793	-0.00038270
-289.07911152	-0.00124213
-289.04575511	-0.00080460
-289.01239870	0.00037372
-288.97904229	-0.00151800
-288.94568589	-0.00057150
-288.91232948	-0.00079177
-288.87897307	-0.00067387
-288.84561666	-0.00125450
-288.81226025	-0.00100498
-288.77890384	-0.00015849
-288.74554743	-0.00078545
-288.71219102	-0.00028639
-288.67883461	-0.00041601
-288.64547820	-0.00096105
-288.61212179	-0.00129277
-288.57876538	-0.00053743
-288.54540897	-0.00109694
-288.51205256	-0.00109771
-288.47869615	-0.00062161
-288.44533974	-0.00218184
-288.41198333	-0.00136800
-288.37862692	-0.00142723
-288.34527051	-0.00068752
-288.31191410	-0.00083600
-288.27855769	-0.00043170
-288.24520129	-0.00151270
-288.21184488	-0.00127419
-288.17848847	-0.00059577
-288.14513206	-0.00118582
-288.11177565	-0.00098448
-288.07841924	-0.00030773
-288.04506283	-0.00050390
-288.01170642	-0.00064317
-287.97835001	-0.00087494
-287.94499360	-0.00072265
-287.91163719	-0.00058232
-287.87828078	-0.00065669
-287.84492437	-0.00177967
-287.81156796	-0.00078597
-287.77821155	-0.00141352
-287.74485514	-0.00131367
-287.71149873	-0.00119776
-287.67814232	-0.00081830
-287.64478591	-0.00083007
-287.61142950	-0.00066575
-287.57807309	-0.00160149
-287.54471669	-0.00030880
-287.51136028	-0.00096685
-287.47800387	-0.00061738
-287.44464746	-0.00074771
-287.41129105	-0.00098175
-287.37793464	-0.00121338
-287.34457823	-0.00043400
-287.31122182	-0.00272196
-287.27786541	-0.00229533
-287.24450900	-0.00095483
-287.21115259	-0.00035254
-287.17779618	-0.00067872
-287.14443977	0.00007114
-287.11108336	-0.00136351
-287.07772695	-0.00041813
-287.04437054	-0.00116370
-287.01101413	-0.00063497
-286.97765772	-0.00115549
-286.94430131	-0.00110871
-286.91094490	-0.00092006
-286.87758849	-0.00077152
-286.84423209	-0.00078043
-286.81087568	-0.00127235
-286.77751927	-0.00111116
-286.74416286	-0.00152221
-286.71080645	-0.00025339
-286.67745004	-0.00123550
-286.64409363	-0.00140518
-286.61073722	-0.00182122
-286.57738081	-0.00139124
-286.54402440	-0.00065648
-286.51066799	-0.00000453
-286.47731158	-0.00184536
-286.44395517	-0.00156751
-286.41059876	-0.00031498
-286.37724235	-0.00032419
-286.34388594	-0.00061783
-286.31052953	-0.00187089
-286.27717312	-0.00126196
-286.24381671	-0.00110446
-286.21046030	0.00060839
-286.17710389	-0.00052538
-286.14374749	-0.00071772
-286.11039108	-0.00190687
-286.07703467	-0.00050315
-286.04367826	-0.00078404
-286.01032185	-0.00096741
-285.97696544	0.00061700
-285.94360903	-0.00084137
-285.91025262	-0.00057027
-285.87689621	-0.00131627
-285.84353980	-0.00165235
-285.81018339	-0.00122266
-285.77682698	-0.00093975
-285.74347057	-0.00107648
-285.71011416	-0.00114892
-285.67675775	-0.00188216
-285.64340134	-0.00052183
-285.61004493	-0.00146464
-285.57668852	-0.00034210
-285.54333211	-0.00199613
-285.50997570	-0.00154072
-285.47661930	-0.00182104
-285.44326289	-0.00098614
-285.40990648	-0.00076776
-285.37655007	-0.00136567
-285.34319366	-0.00139372
-285.30983725	-0.00030064
-285.27648084	-0.00037740
-285.24312443	-0.00126996
-285.20976802	-0.00082830
-285.17641161	-0.00136983
-285.14305520	-0.00194169
-285.10969879	-0.00081778
-285.07634238	-0.00085121
-285.04298597	-0.00164360
-285.00962956	-0.00085386
-284.97627315	-0.00203303
-284.94291674	-0.00145582
-284.90956033	-0.00145644
-284.87620392	-0.00111670
-284.84284751	-0.00211641
-284.80949110	-0.00054387
-284.77613470	-0.00124122
-284.74277829	-0.00037021
-284.70942188	-0.00125520
-284.67606547	-0.00146910
-284.64270906	-0.00083801
-284.60935265	-0.00087127
-284.57599624	-0.00195217
-284.54263983	-0.00060838
-284.50928342	-0.00112696
-284.47592701	-0.00144451
-284.44257060	-0.00113175
-284.40921419	-0.00112423
-284.37585778	-0.00072716
-284.34250137	-0.00061496
-284.30914496	-0.00100532
-284.27578855	-0.00138186
-284.24243214	-0.00122086
-284.20907573	-0.00027809
-284.17571932	-0.00083664
-284.14236291	-0.00070472
-284.10900650	-0.00078373
-284.07565010	-0.00151082
-284.04229369	-0.00136912
-284.00893728	-0.00121649
-283.97558087	-0.00097464
-283.94222446	-0.00166073
-283.90886805	-0.00126251
-283.87551164	-0.00143846
-283.84215523	-0.00146246
-283.80879882	-0.00168152
-283.77544241	-0.00211934
